<<<<<<< HEAD
The Sort & Filter Function allows for filtering data ,,,,,,,
Data Sources:,,,,DFA 256,"US Census Bureau ACS Estimates, DFA 256, MEDS",n/a,"US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,
County,Consortium,Calendar_Year,PRI_est_freq,CF_Persons_CY_Avg,CF_Eligibles,5yr_est_years,PRI
00 Statewide,n/a,2010,Annual Est.,n/a,n/a,n/a,0.509
01 Alameda,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.471651938
02 Alpine,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,1.004
03 Amador,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.757
04 Butte,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.516418643
05 Calaveras,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.806
06 Colusa,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.379
07 Contra Costa,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.48497638
08 Del Norte,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.859
09 El Dorado,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.472997661
10 Fresno,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.782853247
11 Glenn,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.566
12 Humboldt,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.494349127
13 Imperial,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.707393173
14 Inyo,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.659
15 Kern,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.595946835
16 Kings,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.571645951
17 Lake,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.48514418
18 Lassen,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.741
19 Los Angeles,LRS,2010,Annual Est.,n/a,n/a,n/a,0.473957283
20 Madera,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.683006816
21 Marin,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.307373425
22 Mariposa,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.5
23 Mendocino,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.519578443
24 Merced,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.775339497
25 Modoc,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.494
26 Mono,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.229
27 Monterey,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.439322903
28 Napa,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.309365116
29 Nevada,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.391368857
30 Orange,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.394775844
31 Placer,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.330467441
32 Plumas,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.388
33 Riverside,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.478043411
34 Sacramento,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.689759743
35 San Benito,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.743
36 San Bernardino,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.696675269
37 San Diego,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.337455854
38 San Francisco,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.394491296
39 San Joaquin,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.629901902
40 San Luis Obispo,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.346418854
41 San Mateo,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.298583066
42 Santa Barbara,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.328630689
43 Santa Clara,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.432872285
44 Santa Cruz,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.460087125
45 Shasta,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.588763834
46 Sierra,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.594
47 Siskiyou,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.594
48 Solano,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.65288362
49 Sonoma,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.33425411
50 Stanislaus,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.631487795
51 Sutter,C-IV,2010,Annual Est.,n/a,n/a,n/a,0.527931631
52 Tehama,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.631
53 Trinity,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.592
54 Tulare,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.783223256
55 Tuolumne,C-IV,2010,5-yr. Est.,n/a,n/a,2006-2010,0.704
56 Ventura,CalWIN,2010,Annual Est.,n/a,n/a,n/a,0.577459827
